,Unnamed: 0,Price,Address,Bedrooms,Bathrooms,Sqft,ZipCode,State,City,Latitude,Longitude,County
407,407,499900.0,"2286 East Boxwood Lane, Eagle Mountain, UT 840...",3.0,2.0,2860.0,,,,,,Unknown
408,408,,,,,,,,,34.220389,70.3800314,Unknown
409,409,774900.0,"1886 N 285 E, Orem, UT 84057",8.0,4.0,5069.0,84057.0,UT,Orem,40.331753,-111.6896353,Utah County
410,410,84999.0,"245 Pan America Ave, Murray, UT 84107",2.0,2.0,900.0,84107.0,UT,Murray,,,Salt Lake County
411,411,525000.0,"939 Lorraine Avenue, Millcreek, UT 84106",3.0,2.0,1443.0,84106.0,UT,Millcreek,40.6974421,-111.860844,Salt Lake County
412,412,779000.0,"5232 Saddle Drive, Oakley, UT 84055",5.0,3.0,2850.0,84055.0,UT,Oakley,,,Summit County
413,413,599999.0,"1117 N 500 West, Salt Lake City, UT 84121",4.0,2.5,3000.0,84121.0,UT,Salt Lake City,40.7702304,-111.9054071,Salt Lake County
414,414,650000.0,"8243 S 5220 W, West Jordan, UT 84081",5.0,3.5,3300.0,84081.0,UT,West Jordan,40.5996901,-112.0153276,Salt Lake County
415,415,380000.0,"3739 S 700 E, #103, Salt Lake City, UT 84106",2.0,1.0,1035.0,84106.0,UT,Salt Lake City,,,Salt Lake County
416,416,430000.0,"3631 S Chatterleigh Rd, West Valley City, UT 84...",3.0,2.0,1800.0,,,,,,Unknown
417,417,499990.0,"460 E 950 N, Springville, UT 84663",5.0,2.0,2100.0,84663.0,UT,Springville,,,Utah County
